cubename	galaxy	ra	dec	Type	a_v	D_ang (arcmin)	D_lin (kpc)	z	d (Mpc)	seeing	Lin Esc (pc)	D_25_B	r/R_25_B	t_e	Incl	PA	A++	ut	bt	vt	rt	it	mabs
ASASSN-15db	NGC5996	15h46m58.88s	17d53m03.1s	SBc	0.0899	1.74	20.25	0.01092	46.772	1.23	278.91		0.525	5.0	60.34			14.668	13.21	12.79	13.314	13.049	-21.047
ESO443-21	ESO443-21	12h59m45.90s	-29d36m00.8s	Scd edge-on	0.24335	3.68	42.46	0.00941	40.314	1.43	279.49		0.155	6.0	90.0	162			14.479	13.2	13.3	12.819	-20.15
SN2013aj	NGC5339	13h54m00.27s	-07d55m50.4s	SB(rs)a pec	0.09827	1.95	24.87	0.0091	38.956	1.54	290.85	1.20	0.871	1.0	31.35			14.902	12.825	12.24	12.654	11.265	-20.497
ASASSN-14jg	PGC128348	23h33m12.23s	-60d34m20.1s	Sc	0.03968	0.84	16.43	0.01473	63.102	0.97	296.75	2.35	0.81	5.0	36.78				15.12			13.26	-19.058
NGC7469	NGC7469	23h03m15.62s	08d52m26.4s	(R')SAB(rs)a	0.18569	1.6	27.86	0.01612	69.021	0.91	304.51		0.724	1.0	46.92	125		12.497	12.897	12.594	12.381	12.217	-21.77
SN2006et	NGC0232	00h42m45.82s	-23d33m40.9s	SB(r)a pec	0.05115	1.42	36.92	0.02266	97.026	0.65	305.76	1.74	0.813	1.0	38.07				14.455		12.78		-20.449
SN2005hk	UGC00272	00h27m49.74s	-01d12m00.0s	SAB(s)d	0.06014	1.8	32.26	0.01302	55.766	1.16	313.62	0.85	0.427	7.0	66.32	130		16.172	15.228		14.423	14.043	-19.383
iPTF13dge	NGC1762	05h03m37.03s	01d34m24.0s	SA(rs)c	0.23932	1.86	44.76	0.01584	67.843	0.96	315.76	1.29	0.646	5.0	51.2	175			13.347	12.597		11.196	-21.817
SN2007gj	ESO298-28	02h19m37.61s	-37d49m07.6s	SA(rs)bc	0.062	3.8	78.22	0.01699	72.777	0.91	321.08	1.82	0.457	4.0	66.0	23			13.641		12.45	11.705	-21.223
SN2015H	NGC3464	10h54m40.01s	-21d03m59.9s	Sc	0.14601	3.8	50.07	0.01256	53.804	1.24	323.45	2.24	0.646	5.0	51.2	112		13.018	13.068	12.628	12.612	11.435	-21.119
SN2006bh	NGC7329	22h40m24.22s	-66d28m44.3s	SB(r)b	0.07099	5.5	71.34	0.0109	46.686	1.45	328.19	1.55	0.676	3.0	49.7	107		12.546	12.366	11.702	11.07	10.557	-21.222
